time,num1,num2,result,answer,date,correct
5.185412000000042,23,26,49,49,Apr-11-2020,1
9.0179713,38,45,83,83,Apr-11-2020,1
3.8427679000000126,34,16,50,50,Apr-11-2020,1
3.2143022999999857,49,11,60,60,Apr-11-2020,1
3.8569170999999187,41,25,66,66,Apr-11-2020,1
3.900953800000025,32,37,69,69,Apr-11-2020,1
5.452364299999999,16,29,45,45,Apr-11-2020,1
3.523901099999989,4,48,52,52,Apr-11-2020,1
5.023548699999992,46,21,67,67,Apr-11-2020,1
5.672446899999954,24,48,72,72,Apr-11-2020,1
7.766603100000111,40,19,59,59,Apr-11-2020,1
5.320598500000074,32,46,78,78,Apr-11-2020,1
1.7189144999999826,4,3,7,7,Apr-11-2020,1
2.072268000000008,4,40,44,44,Apr-11-2020,1
4.010642099999927,33,32,65,65,Apr-11-2020,1
2.860954300000003,6,40,46,46,Apr-11-2020,1
5.871139500000027,26,43,69,69,Apr-11-2020,1
2.5141980999999305,8,15,23,23,Apr-11-2020,1
1.8217504000000417,2,9,11,11,Apr-11-2020,1
6.474619500000017,46,39,85,85,Apr-11-2020,1
3.9514847000000373,28,44,72,72,Apr-11-2020,1
3.8283387000000175,16,15,31,39,Apr-11-2020,0
12.845158900000001,42,20,62,62,Apr-11-2020,1
9.194811200000004,45,22,67,67,Apr-11-2020,1
2.0320196000000124,31,1,32,32,Apr-11-2020,1
5.91763560000004,33,26,59,59,Apr-11-2020,1
5.35975499999995,39,14,53,53,Apr-11-2020,1
3.524637900000016,33,13,46,46,Apr-11-2020,1
10.072945599999912,16,17,33,33,Apr-11-2020,1
2.700559799999951,41,4,45,45,Apr-11-2020,1
1.8608912000000828,1,38,39,39,Apr-11-2020,1
2.5595597000000225,18,5,23,23,Apr-11-2020,1
4.217074199999956,31,46,77,77,Apr-11-2020,1
6.116581099999962,35,49,84,84,Apr-11-2020,1
1.284552700000063,0,1,1,1,Apr-11-2020,1
2.004329299999995,21,2,23,23,Apr-11-2020,1
7.667345699999942,14,49,63,63,Apr-11-2020,1
4.567681500000049,31,11,42,42,Apr-11-2020,1
6.769831299999964,26,38,64,64,Apr-11-2020,1
1.7107320999999729,1,19,20,20,Apr-11-2020,1
1.9390489999999545,5,40,45,45,Apr-11-2020,1
7.374655699999948,13,48,61,61,Apr-11-2020,1
2.8445087000000058,30,41,71,71,Apr-11-2020,1
3.186010499999952,31,19,50,50,Apr-11-2020,1
2.3303756999999905,1,48,49,49,Apr-11-2020,1
4.871107199999983,33,23,56,56,Apr-11-2020,1
3.342284100000029,6,13,19,19,Apr-11-2020,1
2.1988251999999875,33,10,43,43,Apr-11-2020,1
4.350320399999987,23,17,40,40,Apr-11-2020,1
2.602731100000028,40,11,51,51,Apr-11-2020,1
